Time,V(1),V(2),V(3),I(C1),I(L1),I(R1),I(V1)
0.000105,3.06453526826488,2.90353233450606,0.0590154267894164,0.0161002933758817,0.0161002933758816,0.0161002933758816,-0.0161002933758816
0.000106,3.08929806545167,2.9254303554413,0.06065410388952,0.0163867710010368,0.0163867710010368,0.0163867710010369,-0.0163867710010369
0.000107,3.11393890244056,2.94718632773209,0.0623216296366047,0.0166752574708465,0.0166752574708463,0.0166752574708464,-0.0166752574708464
0.000108,3.1384568064535,2.96879945049773,0.0640182031961623,0.0169657355955765,0.0169657355955765,0.0169657355955765,-0.0169657355955766
0.000109,3.16285080956562,2.99026892870315,0.065744022004787,0.0172581880862463,0.0172581880862463,0.0172581880862464,-0.0172581880862464
0.00011,3.18711994874344,3.01159397318955,0.0674992817603259,0.0175525975553893,0.0175525975553893,0.0175525975553893,-0.0175525975553893
0.000111,3.21126326588292,3.03277380070473,0.0692841764121078,0.0178489465178187,0.0178489465178185,0.0178489465178186,-0.0178489465178186
0.000112,3.23527980784722,3.05380763393325,0.0710988981512475,0.0181472173913969,0.0181472173913967,0.0181472173913968,-0.0181472173913967
0.000113,3.25916862650439,3.0746947015263,0.0729436374010284,0.0184473924978093,0.0184473924978093,0.0184473924978093,-0.0184473924978093
0.000114,3.28292877876478,3.09543423813136,0.0748185828073626,0.0187494540633416,0.0187494540633417,0.0187494540633417,-0.0187494540633417
0.000115,3.30655932661825,3.11602548442165,0.0767239212293287,0.0190533842196609,0.0190533842196609,0.0190533842196609,-0.019053384219661
0.000116,3.33005933717125,3.13646768712525,0.0786598377297887,0.0193591650046004,0.0193591650046004,0.0193591650046005,-0.0193591650046004
0.000117,3.35342788268359,3.1567600990541,0.0806265155660836,0.0196667783629492,0.0196667783629492,0.0196667783629493,-0.0196667783629493
0.000118,3.37666404060512,3.17690197913267,0.0826241361808081,0.0199762061472446,0.0199762061472444,0.0199762061472445,-0.0199762061472445
0.000119,3.39976689361209,3.19689259242641,0.0846528791926649,0.0202874301185679,0.0202874301185678,0.0202874301185679,-0.0202874301185678
0.00012,3.42273552964344,3.21673121016998,0.0867129223873995,0.020600431947346,0.0206004319473461,0.0206004319473461,-0.0206004319473461
0.000121,3.44556904193674,3.23641710979519,0.0888044417088149,0.0209151932141548,0.0209151932141547,0.0209151932141547,-0.0209151932141547
0.000122,3.46826652906402,3.25594957495876,0.0909276112498675,0.0212316954105257,0.0212316954105256,0.0212316954105257,-0.0212316954105256
0.000123,3.49082709496736,3.27532789556978,0.0930826032438433,0.0215499199397583,0.0215499199397582,0.0215499199397582,-0.0215499199397582
0.000124,3.51324984899424,3.2945513678169,0.0952695880556168,0.0218698481177343,0.0218698481177343,0.0218698481177344,-0.0218698481177343
0.000125,3.53553390593273,3.31361929419537,0.0974887341729904,0.0221914611737367,0.0221914611737366,0.0221914611737366,-0.0221914611737366
0.000126,3.55767838604642,3.33253098353372,0.0997402081981175,0.0225147402512703,0.0225147402512701,0.0225147402512702,-0.0225147402512702
0.000127,3.57968241510915,3.35128575102027,0.102024174839006,0.0228396664088883,0.0228396664088882,0.0228396664088883,-0.0228396664088883
0.000128,3.60154512443953,3.36988291822932,0.104340796901108,0.0231662206210212,0.0231662206210211,0.0231662206210212,-0.0231662206210211
0.000129,3.62326565093523,3.38832181314715,0.106690235278989,0.0234943837788081,0.0234943837788079,0.0234943837788079,-0.0234943837788079
0.00013,3.64484313710705,3.40660177019772,0.109072648948083,0.0238241366909329,0.0238241366909328,0.0238241366909329,-0.0238241366909329
0.000131,3.66627673111279,3.42472213026815,0.111488194956529,0.0241554600844641,0.024155460084464,0.0241554600844641,-0.0241554600844641
0.000132,3.68756558679086,3.44268224073391,0.113937028417099,0.0244883346056957,0.0244883346056957,0.0244883346056958,-0.0244883346056958
